,user_id,tweet_id,content,date,like_count,retweet_count,replie_count,image_url,link,place
175,120014735,1241739019110592512,"Hôm nay ngày 22/3 là ngày Bộ Y tế ghi nhận nhiều ca dương tính với virus SARS-COV-2 nhất kể từ đầu dịch, 12 ca mới.  #COVID2019 #Covid_19 #VirusCorona #nCoV2019 #COVIDー19 https://luxury-inside.vn/dich-covid-19-ngay-22-3-tai-viet-nam.htm …",2020-03-22,1,0,0,,https://twitter.com/quynhvunb/status/1241739019110592512,Hà Nội
176,579518597,1241738706437849089,"THỜI KỲ DỊCH COVID 19 NÀY, CHẮC MỌI NGƯỜI CHÁN NẢN, LO LẮNG LẮM NHỈ. BẠN NGHĨ SAO NẾU NHƯ MÀ DỊCH NÀY KÉO DÀI ĐẾN HẾT NĂM?",2020-03-22,1,0,0,,https://twitter.com/honganh456/status/1241738706437849089,Hà Nội
177,544997111,1241738649299009536,List z pochwałami i podziękowaniami małżeństwa Polaków skierowany do wietnamskich organizatorów 14-dniowych kwarann zdrowotnych (Covid-19) pokazany i omówiony dziś w głównym wydaniu wietnamskich wiadomości @MSZ_RP @RzecznikMSZ @GIS_gov pic.twitter.com/iJ0KVs8Dza,2020-03-22,2,0,0,https://pbs.twimg.com/media/ETuKsQeXkAYeOo9.jpg,https://twitter.com/PLinVietnam/status/1241738649299009536,Hà Nội
178,1122518262200225792,1241734772432359426,"Because of COVID-19 so we have to delay the event until today happy birthday late Suga [event in HANOI]
*thanks to: 
@fistbump_suga @di_colpo @dtownsonic_suga @_SUGALOVER_ @BTS_twt pic.twitter.com/wD7TKOylHK",2020-03-22,104,10,0,"https://pbs.twimg.com/media/ETuHBZUUwAMqEGm.jpg', 'https://pbs.twimg.com/media/ETuHBZVUUAEZWl8.jpg', 'https://pbs.twimg.com/media/ETuHBZ2UYAAqGiy.jpg', 'https://pbs.twimg.com/media/ETuHBZXUYAIt8Dn.jpg",https://twitter.com/162Jiyoung/status/1241734772432359426,Hà Nội
179,1318472736,1241730989304344578,COVID-19: Targeting Italy and South Korea? “The Chain of Transmission of Infection”  https://shar.es/aH2FYz  via @grtvnews,2020-03-22,0,0,0,,https://twitter.com/NTH_2705/status/1241730989304344578,Hà Nội
180,1237965561331462144,1241724219903201280,"Tôi yêu Việt Nam
Tôi yêu đồng bào
Mạnh mẽ và cùng nhau chống dịch Covid-19 nào

VOTE ĐÚNG HAGTAG
#COVIDー19
#KCA #VoteBTSGlobal @BTS_twt",2020-03-22,1,0,0,,https://twitter.com/NamHope_J/status/1241724219903201280,Hà Nội
181,808829347,1241724077250838530,"TINH DẦU TỎI Healthy Care High Strength Garlic Oil 5000mg lọ 150 viên mua trực tiếp tại Chemist Warehouse Úc - bay Air xịn sò.

Giá chỉ #270k/ hộp 150 viên uống đc 5 tháng

Từ đợt dịch COVID, Dĩm Shop order 10 hộp,…  https://www.instagram.com/p/B-CcmCAgd0J/?igshid=103y25bcxi6c2 …",2020-03-22,0,0,0,,https://twitter.com/kiemphongkim252/status/1241724077250838530,Hà Nội
182,1318472736,1241723931662270469,"The government told you to stay home when self-quarantines. But somehow there is some lack of awareness people did not listen to the government. And Vietnam confirmed 7 cases infected COVID-19, meaning that Vietnam has 106 people being infected the coronavirus now.",2020-03-22,0,0,1,,https://twitter.com/NTH_2705/status/1241723931662270469,Hà Nội
183,22898078,1241722977483276291,"--
British Nationals in Vietnam, please subscribe to travel advice alerts at  https://www.gov.uk/foreign-travel-advice/vietnam ….

For urgent enquiries, please call +84 (0) 24 3936 0500 (Vietnam) or submit your questions via this form  http://www.gov.uk/contact-consulate-hanoi ….

#TravelAware #Vietnam #coronavirus #covid_19",2020-03-22,1,0,0,,https://twitter.com/UKinVietnam/status/1241722977483276291,Hà Nội
184,710064166468341760,1241719228471767040,Covid-19 impact: Peace and quiet reigns supreme in Hanoi  https://bit.ly/399pMJJ ,2020-03-22,6,2,0,,https://twitter.com/vietnamenglish/status/1241719228471767040,Hà Nội
185,5533262,1241717453303869442,"Cuomo has said some impressive things about covid.

But I am from New York state so I can assure you that he is a slimy, corrupt, vile snake.",2020-03-22,4,0,2,,https://twitter.com/gadikian/status/1241717453303869442,Hà Nội
186,2439868644,1241717356801523712,Ngôi sao Ấn Độ mắc Covid-19 nhưng trốn tránh khai báo lịch trình  http://daynoimi.blogspot.com/2020/03/ngoi-sao-o-mac-covid-19-nhung-tron.html … pic.twitter.com/y0rp0u2lrd,2020-03-22,0,0,0,https://pbs.twimg.com/media/ETt3Wy8X0AEz4JD.jpg,https://twitter.com/daynoimi/status/1241717356801523712,Hà Nội
187,102428336,1241696696582590466,I hope all you ungrateful arseholes clapped for us #covid,2020-03-22,1,0,0,,https://twitter.com/bgradecitizen/status/1241696696582590466,Hà Nội
188,981854105181147136,1241688879192616960,Bộ Y tế cảnh báo việc mua thuốc chữa sốt rét để dự phòng Covid-19  https://anninhthudo.vn/content/NDI2Njg4.antd …,2020-03-22,0,0,0,,https://twitter.com/TRANKHANHDINH1/status/1241688879192616960,Hà Nội
189,994851958841372673,1241688036275978240,"We are absolutely at war with coronavirus. In this conflict, it is our nurses, doctors, paramedics and ambulance drivers who are our soldiers. They are putting their lives on the line, and they deserve our utmost respect and support. #Covid_19 #StayAtHome",2020-03-22,17,2,0,,https://twitter.com/HumphreyWrites/status/1241688036275978240,Hà Nội
190,981854105181147136,1241687390290186241,Một người phải cấp cứu vì uống thuốc trị sốt rét để phòng Covid  https://anninhthudo.vn/content/NDI2NzIy.antd …,2020-03-22,0,0,0,,https://twitter.com/TRANKHANHDINH1/status/1241687390290186241,Hà Nội
191,1039150347954974726,1241674708279390210,Vietnam news has reported 97 cases of covid-19 infection...btw 97 cases in my country call *Ca 98* it is read exactly like Kar97 lol,2020-03-22,0,0,0,,https://twitter.com/xyx_hana/status/1241674708279390210,Hà Nội
192,1115215873390735361,1241672920977399808,"Virus covid - 19 có thể tồn tại bao lâu trên quần áo, làm thế nào để giặ...  https://youtu.be/VUY5k2Zt-SI  via @YouTube",2020-03-22,0,0,0,,https://twitter.com/LThy75448724/status/1241672920977399808,Hà Nội
193,2836130972,1241671586542956544,Covid-19: Thảo Trang nghẹn ngào vẫy tay từ xa với bạn trai trong khu cách ly  https://ift.tt/3bkINuq  pic.twitter.com/uPU6WM1F7m,2020-03-22,0,0,0,https://pbs.twimg.com/media/ETtNunzXkAEYSKr.jpg,https://twitter.com/thuockichduc/status/1241671586542956544,Hà Nội
194,938468424061108224,1241669149547327495,"About 1 hour ago, Vietnam recorded 5 more Coronavirus cases, lifting the total number of covid-19 patients to 99.
All of 5 new cases are HCM city.
Five more test Covid-19 positive in Saigon - VnExpress International  https://bit.ly/2QRA6jt ",2020-03-22,0,0,0,,https://twitter.com/sonfrohd/status/1241669149547327495,Hà Nội
195,2439868644,1241664488434216961,Loạt sao Việt quyên góp tổng gần 25 tỷ đồng chống Covid-19 và hạn mặn  http://daynoimi.blogspot.com/2020/03/loat-sao-viet-quyen-gop-tong-gan-25-ty.html … pic.twitter.com/heV2o8X1A5,2020-03-22,0,0,0,https://pbs.twimg.com/media/ETtHRdAXkAAIdxC.jpg,https://twitter.com/daynoimi/status/1241664488434216961,Hà Nội
196,2836130972,1241664064809504770,"Covid-19: NSND Trung Anh, Chi Bảo vui mừng vì con trai đã về tới Việt Nam  https://ift.tt/3990iwe  pic.twitter.com/FCbDNKiAOw",2020-03-22,0,0,0,https://pbs.twimg.com/media/ETtG4zfXsAAX1Hh.jpg,https://twitter.com/thuockichduc/status/1241664064809504770,Hà Nội
197,2601381283,1241661211864776706,"Cập nhật tình hình diễn biến dịch bệnh COVID-19 tại Hà Nội mới nhất
#COVID_19 http://ytevietnam.net.vn/cap-nhat-tinh-hinh-dien-bien-dich-benh-covid-19-tai-ha-noi-moi-nhat-b2912v.html …",2020-03-22,1,0,0,,https://twitter.com/yduocpasteur/status/1241661211864776706,Hà Nội
198,2601381283,1241661166662774790,"Bộ Y tế khuyến cáo người cao tuổi trước đại dịch COVID-19
#COVID_19 https://caodangyduochcm.edu.vn/bo-y-te-khuyen-cao-nguoi-cao-tuoi-truoc-dai-dich-covid-19/ …",2020-03-22,1,0,0,,https://twitter.com/yduocpasteur/status/1241661166662774790,Hà Nội
199,1363620014,1241660090035269632,Covid-19 Viêth Nam  pic.twitter.com/67NsMlMPEV,2020-03-22,0,0,0,https://pbs.twimg.com/media/ETtDQogUcAEhxuL.jpg,https://twitter.com/Kunitwru/status/1241660090035269632,Hà Nội
200,1102567779440324608,1241658066455552000,Khi các cầu thủ ở nhà để phòng tránh dịch Covid-19 😅  pic.twitter.com/cmOE80NxQV,2020-03-22,1,0,0,https://pbs.twimg.com/media/ETtBaTSU4AAeyBw.jpg,https://twitter.com/XoxoTrong/status/1241658066455552000,Hà Nội
201,703602186023018496,1241657371610374146,Hundreds of thousands officials will go to every single household across #Vietnam to indentify all who entered Vietnam since Mar. 7 & apply precautionary medical measures. Effort to avoid #Covid_19 transmission risk from any possible undectected cases.,2020-03-22,31,12,4,,https://twitter.com/TungNgoCNA/status/1241657371610374146,Hà Nội
202,2439868644,1241656948715655168,Chủ tịch Miss World dương tính với Covid-19  http://daynoimi.blogspot.com/2020/03/chu-tich-miss-world-duong-tinh-voi.html … pic.twitter.com/VtLI6GA2LA,2020-03-22,0,0,0,https://pbs.twimg.com/media/ETtAakpXsAAl8f0.jpg,https://twitter.com/daynoimi/status/1241656948715655168,Hà Nội
203,1234366141272743936,1241655607695826944,"#TopChef
#COVIDー19 #CoronavirusPandemic
#กษัตริย์มีไว้ทําไม
#QuaratineLife
#انا_مع_حظر_التجول_الاجباريًٌَُِ
#CoronaUpdatesInIndia
#COVID19
#italystaystrong
#JKWMundurSaja
#Covid_19
#JKWMundurSaja https://www.youtube.com/watch?v=vLngTBJH4v4 …",2020-03-22,0,0,0,,https://twitter.com/TopfoodT/status/1241655607695826944,Hà Nội
204,710064166468341760,1241654792872579073,10 patients in Vietnam test Covid-19 negative  https://bit.ly/2vFi8cm ,2020-03-22,6,1,0,,https://twitter.com/vietnamenglish/status/1241654792872579073,Hà Nội
205,69587900,1241654400835137536,"Chiều 22/3, Bộ Y tế đã thông báo ghi nhận thêm 4 trường hợp mới dương tính với Covid-19. trong đó có 2 giáo viên người Anh từng đi quán bar với phi công Vietnam Airlines (BN91). Tổng cộng
98 ca nhiễm #Covid19 #coronavirus",2020-03-22,5,0,0,,https://twitter.com/tienhungdg/status/1241654400835137536,Hà Nội
206,1219268131866038279,1241654080713310210,Hello sir @teddyboylocsin good day! Hingi po kami ng tulong stranded po kami ngayon here sa Vietnam teachers po kami na Kaka start Lang noong Jan 15. Kaso Hindi kami nakaSahud Kasi Jan 22 yung Covid nagStart dito sa VN. Patulong kami makaUwi.,2020-03-22,0,0,0,,https://twitter.com/BrandonCassano5/status/1241654080713310210,Hà Nội
207,1121774699363487750,1241651625988460544,"Điểm tin (22//3) - TIM ART TV
- VN Thu phí các đối tượng cách ly? 
- Số ca COVID-19 của Mỹ đứng thứ 3 thế giới.
- Phương thuốc nào có thể giúp chúng ta thoát khỏi dịch viêm phổi Vũ Hán?  https://youtu.be/ab2FkZxbK6c  via @YouTube",2020-03-22,0,0,1,,https://twitter.com/san13051992/status/1241651625988460544,Hà Nội
208,703602186023018496,1241650550585692161,"#Vietnam just confirms four more #Covid_19 infection, tally 98. No death. Vietnam denies entry to all non-Vietnamese passport holders starting Sun, Vietnamese students flocking back in high number, continue to overwhelm swelling quarantine camps.",2020-03-22,2,1,0,,https://twitter.com/TungNgoCNA/status/1241650550585692161,Hà Nội
