,hashtag,user_id,tweet_id,location
0,#travel,192866692,1242385705982017536,hanoi
1,#vietnam,192866692,1242385705982017536,hanoi
2,#covid19,192866692,1242385705982017536,hanoi
3,#covid19,1077378994373152768,1242382965583138816,hanoi
4,#vietnam,1077378994373152768,1242382965583138816,hanoi
5,#covid_19,1077378994373152768,1242382965583138816,hanoi
6,#covid_19,2601381283,1242380705121726464,hanoi
7,#tintucytevietnam,2601381283,1242380705121726464,hanoi
8,#washyourhands,2302446330,1242376666342551553,hanoi
9,#earlychildhoodeducation,2302446330,1242376666342551553,hanoi
10,#travelaware,22898078,1242356847744434176,hanoi
11,#traveladvice,22898078,1242356847744434176,hanoi
12,#covid_19,22898078,1242356847744434176,hanoi
13,#travelaware,22898078,1242330467984007169,hanoi
14,#traveladvice,22898078,1242330467984007169,hanoi
15,#covid_19,22898078,1242330467984007169,hanoi
16,#luatvietnam,955281836619415552,1242325275246858240,hanoi
17,#qatar,3040958010,1242301272625041409,hanoi
18,#vietnam,3040958010,1242301272625041409,hanoi
19,#qatar,3040958010,1242298235890233345,hanoi
20,#vietam,3040958010,1242298235890233345,hanoi
21,#vietnam,2590943138,1242224084760461316,hanoi
22,#covid,2590943138,1242224084760461316,hanoi
23,#halloween,1198307137669091329,1242167630527492097,hanoi
24,#covid_19,1198307137669091329,1242167630527492097,hanoi
25,#vietnamleavesnoonebehind,1080419797488156679,1242132796124155904,hanoi
26,#covid_19,1080419797488156679,1242132796124155904,hanoi
27,#coronavirus,1080419797488156679,1242132796124155904,hanoi
28,#harveyweinstein,1239214469596631041,1242129445093175307,hanoi
29,#covid_19,1239214469596631041,1242129445093175307,hanoi
30,#vietnamtonkintravel,1080858371148832768,1242087133684174848,hanoi
31,#hochiminhmausoleum,1080858371148832768,1242087133684174848,hanoi
32,#hanoi,1080858371148832768,1242087133684174848,hanoi
33,#covid19,1080858371148832768,1242087133684174848,hanoi
34,#chainup,1233336518065811456,1242086918122172416,hanoi
35,#crypto,1233336518065811456,1242086918122172416,hanoi
36,#blockchain,1233336518065811456,1242086918122172416,hanoi
37,#cryptoexchange,1233336518065811456,1242086918122172416,hanoi
38,#covid_19,579518597,1242086840426872838,hanoi
39,#vietnam,917574143813459968,1242046715932209153,hanoi
40,#molisa,917574143813459968,1242046715932209153,hanoi
41,#covid19,917574143813459968,1242046715932209153,hanoi
42,#coronavirus,917574143813459968,1242046715932209153,hanoi
43,#ncov,917574143813459968,1242046715932209153,hanoi
44,#pandemic,917574143813459968,1242046715932209153,hanoi
